Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
213,Hitesh Sharma,in IND,MF,Hyderabad FC,24,1997,12.9,1,8,1,12.5,0.62,0.08,0.13,1,,0,0,Matches
214,Mashoor Shereef,in IND,DF,NorthEast Utd,29,1993,5.9,0,0,0,,0,0,,,,0,0,Matches
215,Parag Shrivas,in IND,DF,Bengaluru,25,1997,10.9,0,11,1,9.1,1.01,0.09,0,0,,0,0,Matches
216,Cleiton Silva,br BRA,FW,East Bengal,35,1987,19.7,12,57,25,43.9,2.89,1.27,0.16,0.36,,3,3,Matches
217,Amarjit Singh,in IND,MF,East Bengal,21,2001,0.1,0,0,0,,0,0,0,0,,0,0,Matches
218,Amrinder Singh,in IND,GK,Odisha,29,1993,20,0,0,0,,0,0,0,0,,0,0,Matches
219,Arshdeep Singh,in IND,GK,Goa,24,1997,1.4,0,0,0,,0,0,0,0,,0,0,Matches
220,Bidyashagar Singh,in IND,FW,Kerala Blasters,24,1998,0.3,0,3,1,33.3,10.8,3.6,0,0,,0,0,Matches
221,Bipin Singh,in IND,"FW,MF",Mumbai City,27,1995,18.8,6,51,25,49,2.71,1.33,0.12,0.24,,0,0,Matches
222,Dheeraj Singh,in IND,GK,Goa,22,2000,18.6,0,0,0,,0,0,0,0,,0,0,Matches
223,Germanpreet Singh,in IND,MF,Jamshedpur,26,1996,3.6,0,6,1,16.7,1.67,0.28,0,0,,0,0,Matches
224,Gurkirat Singh,in IND,DF,Mumbai City,19,2003,1.2,0,6,1,16.7,4.91,0.82,0,0,,0,0,Matches
225,Gurmeet Singh,in IND,GK,Hyderabad FC,23,1999,12,0,0,0,,0,0,0,0,,0,0,Matches
226,Gurmukh Singh,in IND,DF,Chennaiyin,23,1999,5.2,0,1,0,0,0.19,0,0,0,,0,0,Matches
227,Gursimrat Singh,in IND,DF,Mumbai City,24,1997,0,0,0,0,,0,0,0,0,,0,0,Matches
228,Harmanpreeth Singh,in IND,MF,Bengaluru,20,2001,0.1,0,0,0,,0,0,0,0,,0,0,Matches
229,Jeakson Singh,in IND,MF,Kerala Blasters,21,2001,18.2,0,9,1,11.1,0.49,0.05,0,0,,0,0,Matches
230,Jitendra Singh,in IND,MF,Jamshedpur,21,2001,8.1,0,4,0,0,0.49,0,0,0,,0,0,Matches
